post,reply,comment,total,liked,test_grade,homework_grade,exam_grade,discussion_grade,final_grade,grade_level
0.0,11.0,0.0,11.0,0.0,169.0,304.5,53.5,100.0,95.11,1.0
1.0,12.0,0.0,13.0,22.0,170.32,258.17,53.0,100.0,92.49,1.0
0.0,15.0,0.0,15.0,4.0,165.32,294.5,49.0,100.0,90.89,1.0
0.0,14.0,0.0,14.0,0.0,153.32,268.0,53.0,100.0,90.59,1.0
0.0,9.0,0.0,9.0,3.0,173.0,303.34,60.0,50.0,88.45,1.0
0.0,13.0,0.0,13.0,8.0,153.0,299.83,42.5,90.0,84.61,2.0
1.0,15.0,0.0,16.0,0.0,172.64,300.66,56.0,40.0,83.89,2.0
0.0,8.0,0.0,8.0,4.0,154.32,293.34,54.0,60.0,83.23,2.0
0.0,4.0,0.0,4.0,0.0,174.32,267.17,54.5,40.0,82.31,2.0
4.0,10.0,3.0,17.0,3.0,169.5,262.83,56.82,40.0,81.95,2.0
7.0,28.0,9.0,44.0,27.0,171.0,308.0,54.82,30.0,81.62,2.0
0.0,4.0,0.0,4.0,1.0,156.0,299.0,56.0,40.0,81.46,2.0
0.0,2.0,0.0,2.0,1.0,169.14,309.0,56.5,20.0,80.71,2.0
4.0,7.0,0.0,11.0,2.0,166.32,291.09,51.5,40.0,80.5,2.0
8.0,9.0,3.0,20.0,10.0,167.14,286.42,54.0,30.0,79.5,2.0
1.0,22.0,0.0,23.0,0.0,96.8,228.5,49.0,100.0,77.77,2.0
6.0,16.0,1.0,23.0,2.0,144.98,256.0,48.0,60.0,77.62,2.0
0.0,2.0,0.0,2.0,0.0,163.64,238.17,60.0,20.0,77.46,2.0
0.0,7.0,0.0,7.0,2.0,143.5,242.67,55.0,50.0,77.44,2.0
0.0,10.0,0.0,10.0,4.0,120.82,231.17,44.5,100.0,77.09,2.0
0.0,2.0,0.0,2.0,0.0,168.0,243.5,59.0,20.0,76.9,2.0
0.0,5.0,0.0,5.0,0.0,142.48,294.5,51.0,40.0,76.46,2.0
0.0,14.0,0.0,14.0,1.0,126.64,242.0,36.0,100.0,76.39,2.0
0.0,4.0,0.0,4.0,1.0,164.28,252.68,48.5,40.0,75.43,2.0
3.0,13.0,0.0,16.0,4.0,165.32,239.5,53.5,20.0,75.17,2.0
0.0,6.0,0.0,6.0,0.0,160.28,254.5,37.0,60.0,74.91,2.0
0.0,12.0,0.0,12.0,1.0,106.46,236.16,40.82,100.0,74.45,2.0
0.0,0.0,0.0,0.0,0.0,162.5,297.0,52.5,10.0,73.63,2.0
0.0,2.0,0.0,2.0,0.0,154.5,283.34,50.0,20.0,73.28,2.0
2.0,2.0,0.0,4.0,3.0,168.82,251.67,48.0,20.0,73.1,2.0
0.0,2.0,0.0,2.0,0.0,157.82,242.5,53.5,20.0,72.76,2.0
0.0,3.0,0.0,3.0,3.0,144.0,278.0,48.5,30.0,72.65,2.0
0.0,2.0,1.0,3.0,0.0,161.46,282.84,46.32,20.0,72.29,2.0
3.0,7.0,0.0,10.0,1.0,145.5,269.5,39.0,50.0,71.22,2.0
6.0,5.0,1.0,12.0,2.0,153.32,287.0,48.0,20.0,70.84,2.0
0.0,7.0,0.0,7.0,2.0,138.32,265.5,44.5,40.0,70.78,2.0
0.0,3.0,0.0,3.0,0.0,140.82,284.0,45.5,30.0,70.48,2.0
0.0,2.0,0.0,2.0,0.0,137.64,304.0,47.0,20.0,69.77,2.0
0.0,3.0,0.0,3.0,1.0,133.82,233.5,55.0,20.0,68.91,2.0
0.0,2.0,0.0,2.0,0.0,138.0,243.5,54.0,20.0,68.65,2.0
2.0,2.0,0.0,4.0,0.0,127.96,288.17,51.32,20.0,67.86,2.0
0.0,9.0,0.0,9.0,1.0,132.46,285.33,37.5,30.0,66.68,2.0
0.0,2.0,0.0,2.0,1.0,143.82,299.83,37.0,20.0,66.04,2.0
0.0,3.0,0.0,3.0,0.0,145.3,281.67,33.5,30.0,65.5,2.0
2.0,26.0,3.0,31.0,6.0,135.5,242.0,42.5,30.0,65.21,2.0
0.0,2.0,0.0,2.0,0.0,137.32,210.25,50.0,20.0,64.91,2.0
0.0,2.0,0.0,2.0,0.0,91.0,265.67,55.0,20.0,64.73,2.0
0.0,16.0,0.0,16.0,7.0,128.46,232.34,39.5,40.0,64.4,2.0
0.0,2.0,0.0,2.0,0.0,143.5,238.0,39.5,20.0,63.17,2.0
0.0,3.0,0.0,3.0,0.0,121.5,310.0,37.5,20.0,62.81,2.0
0.0,3.0,0.0,3.0,0.0,96.3,214.5,54.5,30.0,62.8,2.0
0.0,2.0,0.0,2.0,0.0,120.14,213.91,48.82,20.0,60.91,2.0
0.0,3.0,0.0,3.0,2.0,124.12,209.25,40.5,30.0,59.78,3.0
0.0,3.0,0.0,3.0,0.0,101.96,184.25,47.0,30.0,59.14,3.0
1.0,2.0,10.0,13.0,1.0,104.28,233.0,41.0,20.0,57.95,3.0
0.0,2.0,2.0,4.0,2.0,137.0,261.5,26.0,20.0,57.62,3.0
0.0,9.0,0.0,9.0,2.0,79.32,133.4,47.0,50.0,57.23,3.0
0.0,6.0,0.0,6.0,0.0,78.0,200.67,47.0,50.0,56.97,3.0
0.0,2.0,0.0,2.0,2.0,57.32,234.83,52.5,20.0,55.53,3.0
0.0,2.0,1.0,3.0,0.0,130.64,268.5,25.0,20.0,54.91,3.0
0.0,14.0,0.0,14.0,0.0,37.66,216.83,51.0,40.0,53.86,3.0
2.0,3.0,0.0,5.0,1.0,114.32,172.92,44.5,10.0,53.72,3.0
0.0,2.0,0.0,2.0,0.0,114.0,120.0,45.32,20.0,53.42,3.0
0.0,2.0,0.0,2.0,0.0,103.28,170.83,41.5,20.0,53.2,3.0
0.0,2.0,0.0,2.0,0.0,149.82,111.42,36.64,20.0,53.0,3.0
0.0,2.0,0.0,2.0,0.0,66.64,201.5,50.5,20.0,52.78,3.0
0.0,0.0,2.0,2.0,0.0,83.92,223.0,49.0,0.0,52.56,3.0
1.0,3.0,0.0,4.0,1.0,138.64,164.46,33.16,10.0,52.23,3.0
0.0,2.0,0.0,2.0,0.0,82.0,144.0,46.5,20.0,51.78,3.0
6.0,2.0,2.0,10.0,6.0,119.0,123.17,38.0,20.0,51.63,3.0
0.0,2.0,0.0,2.0,0.0,81.6,227.84,35.0,20.0,51.38,3.0
0.0,2.0,0.0,2.0,0.0,79.0,191.76,40.32,20.0,48.7,3.0
1.0,5.0,0.0,6.0,0.0,31.0,158.83,46.5,50.0,48.57,3.0
1.0,8.0,0.0,9.0,1.0,67.82,126.5,44.0,30.0,48.4,3.0
0.0,2.0,0.0,2.0,0.0,82.5,128.75,41.5,20.0,48.2,3.0
0.0,7.0,0.0,7.0,2.0,97.98,238.3,0.0,70.0,46.88,3.0
1.0,10.0,1.0,12.0,0.0,56.66,79.34,48.0,40.0,46.42,3.0
0.0,2.0,0.0,2.0,0.0,53.5,98.5,52.0,20.0,46.27,3.0
0.0,2.0,0.0,2.0,0.0,60.32,221.83,32.0,20.0,45.86,3.0
0.0,2.0,0.0,2.0,0.0,149.82,242.5,0.0,20.0,44.09,3.0
0.0,3.0,0.0,3.0,0.0,90.26,171.0,23.0,30.0,42.46,3.0
0.0,2.0,0.0,2.0,0.0,28.0,53.25,56.0,20.0,42.19,3.0
0.0,3.0,0.0,3.0,1.0,121.82,274.67,0.0,20.0,41.95,3.0
3.0,3.0,0.0,6.0,0.0,46.5,131.0,49.0,0.0,40.61,3.0
2.0,3.0,2.0,7.0,3.0,144.82,164.5,0.0,20.0,39.32,3.0
4.0,3.0,3.0,10.0,3.0,104.78,0.0,38.82,0.0,37.38,3.0
